충전소명,주소,Latitude,Longitude,ID,충전기 형태,충전기 용량,x,y
DTC섬유박물관,대구광역시 동구 팔공로 227DTC섬유박물관(봉무동 1560-1),35.9191994,128.6400249,1,DC차데모+AC3상+DC콤보,50kW,,
가창면 행정복지센터,대구광역시 달성군 가창면 가창로 1100가창면행정복지센터(82 가창면사무소),35.8025854,128.622956,1,AC완속,7kW,,
갓바위공영3주차장,대구광역시 동구 갓바위로 227갓바위공영3주차장(진인동 123-74 갓바위공영3주차장),35.9711345,128.7256503,1,AC완속,7kW,,
갓바위공영3주차장,대구광역시 동구 갓바위로 227갓바위공영3주차장(진인동 123-74 갓바위공영3주차장),35.9711345,128.7256503,2,AC완속,7kW,,
갓바위공영3주차장,대구광역시 동구 갓바위로 227갓바위공영3주차장(진인동 123-74 갓바위공영3주차장),35.9711345,128.7256503,3,AC완속,7kW,,
갓바위공영5주차장,대구광역시 동구 갓바위로 223-35갓바위공영5주차장(진인동 123-12 갓바위공영5주차장),35.9733218,128.7264895,1,DC차데모+AC3상+DC콤보,50kW,,
검단동 행정복지센터,대구광역시 북구 검단로41길 12검단동행정복지센터(검단동 행정복지센터),35.9133249,128.6273141,1,AC완속,7kW,,
고산3동 행정복지센터,대구광역시 수성구 고산로 152고산3동행정복지센터(고산3동 행정복지센터),35.8441077,128.7065744,1,AC완속,7kW,,
관음공영주차장,대구광역시 북구 관음중앙로 80관음공영주차장(관음동 448-1),35.9407641,128.5449677,1,DC차데모+AC3상+DC콤보,50kW,,
관음동 행정복지센터,대구광역시 북구 관음동로 125관음동행정복지센터(관음동 행정복지센터),35.9442294,128.5473327,1,AC완속,7kW,,
구암동 행정복지센터,대구광역시 북구 구암서로 32구암동 행정복지센터(구암동 788-1),35.9389053,128.5660447,1,DC차데모+AC3상+DC콤보,50kW,,
국채보상운동기념공원주차장,대구광역시 중구 국채보상로 670국채보상운동기념공원주차장(동인동2가 42),35.8689974,128.6017305,1,AC완속,7kW,,
국채보상운동기념공원주차장,대구광역시 중구 국채보상로 670국채보상운동기념공원주차장(동인동2가 42),35.8689974,128.6017305,2,AC완속,7kW,,
국채보상운동기념공원주차장,대구광역시 중구 국채보상로 670국채보상운동기념공원주차장(동인동2가 42),35.8689974,128.6017305,3,AC완속,7kW,,
남산4동 행정복지센터,대구광역시 중구 남산로1길 42남산4동행정복지센터(2508-1 남산4동주민센터),35.8582148,128.5805303,1,AC완속,7kW,,
내당23동 행정복지센터,"대구광역시 서구 큰장로15길 11-1내당23동행정복지센터(1008-1 내당2,3동주민센터)",35.8673443,128.5745766,1,AC완속,7kW,,
논공읍 논공공단출장소,대구광역시 달성군 논공읍 논공중앙로33길 3논공읍 논공공단출장소(북리 1-130),35.7300136,128.4528235,1,DC차데모+AC3상+DC콤보,50kW,,
논공읍 행정복지센터,"대구광역시 달성군 논공읍 비슬로 1779논공읍행정복지센터(1998 논공읍사무소,금포119지역대)",35.7742545,128.4201906,1,AC완속,7kW,,
농수산물도매시장,대구광역시 북구 매천로18길 34농수산물도매시장(매천동 527-3),35.9025772,128.5431863,1,DC차데모+AC3상+DC콤보,50kW,,
농수산물도매시장,대구광역시 북구 매천로18길 34농수산물도매시장(매천동 527-3),35.9025772,128.5431863,2,AC완속,7kW,,
농수산물도매시장,대구광역시 북구 매천로18길 34농수산물도매시장(매천동 527-3),35.9025772,128.5431863,3,AC완속,7kW,,
농수산물도매시장,대구광역시 북구 매천로18길 34농수산물도매시장(매천동 527-3),35.9025772,128.5431863,4,AC완속,7kW,,
다사읍 행정복지센터,대구광역시 달성군 다사읍 매곡로 7다사읍 행정복지센터(매곡리 885-1),35.8619037,128.4540961,1,DC차데모+AC3상+DC콤보,50kW,,
다사읍 행정복지센터(서재출장소),대구광역시 달성군 다사읍 서재본길 25다사읍행정복지센터(서재)(다사읍사무소 서재출장소),35.8619037,128.4540961,1,AC완속,7kW,,
다사체육공원 주차장,대구광역시 달성군 다사읍 다사로 441다사체육공원(달천리 137-2),35.8905147,128.4789835,1,DC차데모+AC3상+DC콤보,50kW,,
달서구청,대구광역시 달서구 학산로 45달서구청(월성동 281),35.8297339,128.5326441,1,DC차데모+AC3상+DC콤보,50kW,,
달성군농업기술센터,대구광역시 달성군 옥포읍 비슬로 2040달성군농업기술센터(교항리 2521-7),35.7824203,128.4467845,1,DC차데모+AC3상+DC콤보,50kW,,
달성군청,대구광역시 달성군 논공읍 달성군청로 33달성군청(금포리 1313),35.7745414,128.4313244,1,DC차데모+AC3상+DC콤보,50kW,,
달성군청,대구광역시 달성군 논공읍 달성군청로 33달성군청(금포리 1313),35.7745414,128.4313244,2,AC완속,7kW,,
달성문화센터,대구광역시 달성군 다사읍 대실역북로2길 188달성문화센터(매곡리 1515-3),35.865245,128.4607069,1,DC차데모+AC3상+DC콤보,50kW,,
대구과학관,대구광역시 달성군 유가읍 테크노대로6길 20대구과학관 주차장(상리 917),35.6888802,128.4637065,1,DC차데모+AC3상+DC콤보,50kW,,
대구과학관,대구광역시 달성군 유가읍 테크노대로6길 20대구과학관 주차장(상리 917),35.6888802,128.4637065,2,AC완속,7kW,,
대구과학관,대구광역시 달성군 유가읍 테크노대로6길 20대구과학관 주차장(상리 917),35.6888802,128.4637065,3,AC완속,7kW,,
대구과학관,대구광역시 달성군 유가읍 테크노대로6길 20대구과학관 주차장(상리 917),35.6888802,128.4637065,4,AC완속,7kW,,
대구도시철도공사,대구광역시 달서구 월배로 250대구도시철도공사(상인동 1500),35.8192863,128.5408989,1,DC차데모+AC3상+DC콤보,50kW,,
대구부광교회,대구광역시 북구 칠곡중앙대로52길 38대구부광교회(태전동 608-12),35.9218148,128.5495474,1,DC차데모+AC3상+DC콤보,50kW,,
대구사격장,대구광역시 북구 문주길 170대구사격장(40 대구사격장),35.9112683,128.524302,1,DC차데모+AC3상+DC콤보,50kW,,
대구시청,대구광역시 중구 공평로 88대구시청 주차장(동인동1가 2-1),35.871479,128.601482,1,DC차데모+AC3상+DC콤보,50kW,,
대구시청,대구광역시 중구 공평로 88대구시청 주차장(동인동1가 2-1),35.871479,128.601482,2,AC완속,7kW,,
대구은행 본리동지점,대구광역시 달서구 구마로 180대구은행 본리동지점(본동 225-3),35.8369747,128.5474158,1,DC차데모+AC3상+DC콤보,50kW,,
대구은행 시지지점,대구광역시 수성구 달구벌대로 3196대구은행 시지지점(신매동 567-10),35.8402193,128.7062412,1,DC차데모+AC3상+DC콤보,50kW,,
대구은행 제2본점,대구광역시 북구 옥산로 111대구은행 제2본점(칠성동2가 2-4 대구은행 제2본점),35.8841889,128.5885533,1,DC차데모+AC3상+DC콤보,50kW,,
대구은행 파동지점,대구광역시 수성구 수성로5 (입구 좌측),35.8261163,128.6100013,1,DC차데모+AC3상+DC콤보,50kW,,
대구의료원,대구광역시 서구 평리로 157대구의료원(1162 대구의료원),35.859603,128.540617,1,DC차데모+AC3상+DC콤보,50kW,,
대구지식서비스센터,대구광역시 동구 동대구로 481대구지식서비스센터(신천동 92),35.8731756,128.6248576,1,AC완속,7kW,,
대구지식서비스센터,대구광역시 동구 동대구로 481대구지식서비스센터(신천동 92),35.8731756,128.6248576,2,AC완속,7kW,,
대구체육관 주차장,대구광역시 북구 대구체육관로 39대구체육관 주차장(산격동 1427-1),35.8937914,128.6034045,1,DC차데모+AC3상+DC콤보,50kW,,
대구환경공단(달서천),대구광역시 서구 염색공단로 130대구환경공단(달서천)(비산동 3016),35.8846587,128.5375558,1,DC차데모+AC3상+DC콤보,50kW,,
대구환경공단(달서천),대구광역시 서구 염색공단로 130대구환경공단(달서천)(비산동 3016),35.8846587,128.5375558,2,AC완속,7kW,,
대구환경공단(본부),대구광역시 달서구 달서대로 210대구환경공단(본부)(대천동 770),35.8233091,128.4959538,1,DC차데모+AC3상+DC콤보,50kW,,
대구환경공단(본부),대구광역시 달서구 달서대로 210대구환경공단(본부)(대천동 770),35.8233091,128.4959538,2,AC완속,7kW,,
대구환경공단(지산),대구광역시 수성구 무학로 112대구환경공단(지산)(두산동 499-4),35.829282,128.6207449,1,DC차데모+AC3상+DC콤보,50kW,,
대덕승마장,대구광역시 달서구 앞산순환로 206대덕승마장(송현동 694),35.821512,128.5544752,1,DC차데모+AC3상+DC콤보,50kW,,
대명5동 행정복지센터,대구광역시 남구 대명로58길 11대명5동 행정복지센터(대명동 150 대명5동 행정복지센터),35.8432073,128.5878348,1,DC차데모+AC3상+DC콤보,50kW,,
대명9동행정복지센터,대구광역시 남구 큰골길 53대명9동행정복지센터(2680-7 대명9동주민센터),35.8372729,128.5791977,1,AC완속,7kW,,
도원동 행정복지센터,대구광역시 달서구 한실로 53도원동행정복지센터(1429-5 도원동행정복지센터),35.8074674,128.5323803,1,AC완속,7kW,,
동구청,대구광역시 동구 아양로 207동구청(신암동 36-1),35.8866013,128.6355799,1,DC차데모+AC3상+DC콤보,50kW,,
동구청,대구광역시 동구 아양로 207동구청(신암동 36-1),35.8866013,128.6355799,2,AC완속,7kW,,
동대구복합환승센터,대구광역시 동구 동부로 149동대구복합환승센터 주차장,35.8778436,128.6289975,1,DC차데모+AC3상+DC콤보,50kW,,
동대구복합환승센터,대구광역시 동구 동부로 149동대구복합환승센터 주차장,35.8778436,128.6289975,2,AC완속,7kW,,
동대구복합환승센터,대구광역시 동구 동부로 149동대구복합환승센터 주차장,35.8778436,128.6289975,3,AC완속,7kW,,
동대구복합환승센터,대구광역시 동구 동부로 149동대구복합환승센터 주차장,35.8778436,128.6289975,4,AC완속,7kW,,
