정류소아이디,모바일아이디,정류소명,영문명,시도,구군,동,경도,위도,경유노선수,경유노선
7051001500,2354,대구공공시설관리공단앞,Daegu Public Facilities Corporation,대구광역시,남구,대명10동,128.5603346,35.83840532,8,306+518+564+600+623+649+651+서구1
7051003100,2178,대명역(1번출구),Daemyeong Station,대구광역시,남구,대명10동,128.5651533,35.83940477,8,306+518+564+600+623+649+651+서구1
7051003300,20031,대명초등학교건너,Daemyeong Elementary School,대구광역시,남구,대명10동,128.5685986,35.83957787,8,306+518+564+600+623+649+651+서구1
7051003500,2175,KT남대구지사건너1,KT Namdaegu District Office,대구광역시,남구,대명10동,128.5726133,35.8394358,7,306+518+564+623+649+651+서구1
7051003700,2174,안지랑네거리2,Anjirang (4) Junction,대구광역시,남구,대명10동,128.5752234,35.83925563,9,306+410-1+518+564+623+649+651+달서4+서구1
7051005500,638,대구차여성병원건너,Daegu CHA Woman's hospital,대구광역시,남구,대명10동,128.5741051,35.84066823,4,503+623+서구1+순환3-1
7051005700,21228,대명1동행정복지센터건너,Daemyeong 1-dong Community Service Center,대구광역시,남구,대명10동,128.5717354,35.84228743,4,503+623+서구1+순환3-1
7051006000,742,두리봉네거리2,Duribong Junction,대구광역시,남구,대명10동,128.5588594,35.83919405,6,609+618+650+706+836+남구1
7051006100,21227,문화예술회관건너,Culture and Arts Center,대구광역시,남구,대명10동,128.5607568,35.8416537,7,609+618+650+706+805+836+남구1
7041030100,590,앞산궁도장건너,Apsan Archery Field,대구광역시,남구,대명11동,128.5608604,35.82826548,2,750+달서4
7051000900,2142,서부정류장(관문시장앞),Seobu Bus Terminal,대구광역시,남구,대명11동,128.5566318,35.8362732,6,600+609+623+649+706+남구1
7051001000,20029,한영한마음아동병원앞,Hanyoung Children's Hospital,대구광역시,남구,대명11동,128.5557824,35.83484218,8,600+609+650+706+726+750+836+달성2
7051001100,987,앞산궁도장앞,Apsan Archery Field,대구광역시,남구,대명11동,128.5611136,35.8280999,1,달서4-1
7051001300,21215,앞산빨래터공원,Apsan Ppallaeteo Park,대구광역시,남구,대명11동,128.5648755,35.83265242,2,달서4+달성2
7051001600,2143,대구공공시설관리공단건너,Daegu Public Facilities Corporation,대구광역시,남구,대명11동,128.5605564,35.8381782,8,306+518+564+600+623+649+651+서구1-1
7051001700,589,성명119안전센터건너1,Seongmyeong 119 Center,대구광역시,남구,대명11동,128.5585911,35.83319303,2,남구1+달성2
7051001800,20709,성명119안전센터앞,Seongmyeong 119 Center,대구광역시,남구,대명11동,128.5593073,35.83307837,3,750+남구1-1+달성2
7051001900,20710,한마음주유소앞,Hanmaeum Gas Station,대구광역시,남구,대명11동,128.5607188,35.83388052,3,750+남구1-1+달성2
7051002000,20707,한마음주유소건너,Hanmaeum Gas Station,대구광역시,남구,대명11동,128.561286,35.8343495,2,750+남구1
7051013300,585,대덕초등학교,Daedeok Elementary School,대구광역시,남구,대명11동,128.5606761,35.83075013,1,달성2
7051014900,776,골안골,gorangoll,대구광역시,남구,대명11동,128.564771,35.83075812,1,달서4-1
7051015000,778,삼성공원아파트건너,Samsung Park Apts,대구광역시,남구,대명11동,128.5636352,35.82999378,2,달서4+달성2
7051016500,2845,대덕초등학교건너,Daedeok Elementary School,대구광역시,남구,대명11동,128.5606238,35.83066128,1,750
7051016700,20708,성명119안전센터건너2,Seongmyeong 119 Center,대구광역시,남구,대명11동,128.5591767,35.83311167,1,750
7051005400,21212,대구차여성병원앞,Daegu CHA Woman's hospital,대구광역시,남구,대명1동,128.5752923,35.84016382,4,503+623+서구1-1+순환3
7051005600,21213,대명1동행정복지센터앞,Daemyeong 1-dong Community Service Center,대구광역시,남구,대명1동,128.5727131,35.84191405,4,503+623+서구1-1+순환3
7051007600,630,영남이공대학건너,Yeungnam College of Science and Technology,대구광역시,남구,대명1동,128.579953,35.84627498,5,300+306+518+651+달서4
7051007800,631,대구교통방송건너,Daegu TBN,대구광역시,남구,대명1동,128.5798742,35.84177412,5,300+306+518+651+달서4
7001002200,418,명덕네거리1,Myeongdeok (4) Junction,대구광역시,남구,대명2동,128.5920026,35.85675232,5,204+304+509+남구1+순환2-1
7001002700,9139,명덕초등학교건너,Myeongdeok Elementary School,대구광역시,남구,대명2동,128.588122,35.85667662,8,306+509+518+650+706+805+남구1+순환2-1
7051000600,2236,경북여상건너,Kyongbuk Girls' Commercial High School,대구광역시,남구,대명2동,128.590812,35.85515342,5,349+405+410+503+649
7051000700,2221,경북여상앞,Kyongbuk Girls' Commercial High School,대구광역시,남구,대명2동,128.5904984,35.85562315,5,349+405+410-1+503+649
7051008700,2206,대구교육대건너,National University of Education,대구광역시,남구,대명2동,128.5907467,35.85064,5,349+405+410+503+649
7051008800,2222,대구교육대앞,National University of Education,대구광역시,남구,대명2동,128.5904396,35.85172987,5,349+405+410-1+503+649
7001000100,5191,대명시장앞,Daemyeong Market,대구광역시,남구,대명3동,128.5771615,35.85873347,7,509+650+706+805+836+달서4+순환2-1
7001000300,2166,계명대학교대명캠퍼스앞,Keimyung University Daemyeong Campus,대구광역시,남구,대명3동,128.5808087,35.85712228,7,509+650+706+805+836+달서4+순환2-1
7001002900,20833,남산역건너(프린스호텔앞),Namsan Station,대구광역시,남구,대명3동,128.5839741,35.85632937,8,306+509+518+650+706+805+남구1+순환2-1
7051000200,1048,대명공연거리건너,Daemyeong Performing Arts Street,대구광역시,남구,대명3동,128.5832386,35.85411348,7,300+306+518+609+651+남구1+달서4-1
7051000400,1223,대구보건고등학교건너,Daegu Health High School,대구광역시,남구,대명3동,128.5743992,35.85756707,7,618+650+706+805+808+836+달서4
7051006900,21230,굿모닝병원앞,Goodmorning hospital,대구광역시,남구,대명3동,128.57394,35.85328225,7,618+650+706+805+808+836+달서4
7051007100,20084,대명사회복지관건너,Daemyeong Social Welfare Center,대구광역시,남구,대명3동,128.5765457,35.85105123,3,609+808+남구1-1
7051007200,20086,계명대대명캠퍼스후문건너,Keimyung University Daemyeong Campus,대구광역시,남구,대명3동,128.5797171,35.8515553,2,609+남구1
7051007300,20083,계명대학교대명캠퍼스후문앞,Keimyung University Daemyeong Campus,대구광역시,남구,대명3동,128.5804287,35.85187038,3,609+808+남구1-1
7051007400,20882,대구여자상업고등학교건너,Daegu Girls Commercial High School,대구광역시,남구,대명3동,128.5813633,35.85082965,5,300+306+518+651+달서4
7051007500,20883,대구여자상업고등학교앞,Daegu Girls Commercial High School,대구광역시,남구,대명3동,128.5812018,35.85017193,5,300+306+518+651+달서4-1
7051016000,20032,대명공연거리앞,Daemyeong Performing Arts Street,대구광역시,남구,대명3동,128.5830041,35.85450058,8,300+306+518+609+651+808+남구1-1+달서4
7051005800,21229,대구가톨릭대학병원건너,Daegu Catholic University Medical Center,대구광역시,남구,대명4동,128.5694211,35.84454118,4,503+623+서구1-1+순환3
7051005900,2559,대구가톨릭대학병원앞,Daegu Catholic University Medical Center,대구광역시,남구,대명4동,128.5690864,35.84451925,4,503+623+서구1+순환3-1
7051006300,629,두류수영장건너,Duryu Swimming Pool,대구광역시,남구,대명4동,128.5646162,35.84540855,8,609+618+650+706+805+836+급행6+남구1
7051006500,628,문성병원앞,Munseong hospital,대구광역시,남구,대명4동,128.5687555,35.84804292,8,609+618+650+706+805+836+남구1+서구1-1
7051006700,2184,성당시장앞2,Seongdang Market,대구광역시,남구,대명4동,128.5725494,35.85036222,7,609+618+650+706+805+836+남구1
7051007000,20085,대명사회복지관앞,Daemyeong Social Welfare Center,대구광역시,남구,대명4동,128.5757296,35.85098627,2,609+남구1
7051015600,627,성당시장앞1,Seongdang Market,대구광역시,남구,대명4동,128.5711855,35.84952967,1,서구1-1
7051007700,20832,영남이공대학앞,Yeungnam College of Science and Technology,대구광역시,남구,대명5동,128.5801484,35.84643223,5,300+306+518+651+달서4-1
7051007900,20831,대구교통방송앞,Daegu TBN,대구광역시,남구,대명5동,128.5800668,35.84208453,5,300+306+518+651+달서4-1
7051008100,2173,현충로역(4번출구),Hyeonchungno Station,대구광역시,남구,대명5동,128.5817766,35.84123487,6,410-1+503+564+649+남구1+순환3
7051008200,9137,영대병원역(3번출구),Yeungnam University hospital Station,대구광역시,남구,대명5동,128.5891301,35.8447903,6,410-1+503+564+649+남구1+순환3
7051008300,21151,대명5동행정복지센터앞,Daemyeong 5-dong Community Service Center,대구광역시,남구,대명5동,128.587122,35.84359017,3,410+503+649
7051008400,5192,영대병원역,Yeungnam University hospital Station,대구광역시,남구,대명5동,128.5883989,35.84421465,3,564+남구1-1+순환3-1
7051008600,2223,대구고등학교앞,Daegu High School,대구광역시,남구,대명5동,128.5903588,35.84727007,5,349+405+410-1+503+649
