충전소명,주소,ID,충전기 형태,충전기 용량
DTC섬유박물관,대구광역시 동구 팔공로 227DTC섬유박물관(봉무동 1560-1),01,DC차데모+AC3상+DC콤보,50kW
가창면 행정복지센터,대구광역시 달성군 가창면 가창로 1100가창면행정복지센터(82 가창면사무소),01,AC완속,7kW
갓바위공영3주차장,대구광역시 동구 갓바위로 227갓바위공영3주차장(진인동 123-74 갓바위공영3주차장),01,AC완속,7kW
갓바위공영3주차장,대구광역시 동구 갓바위로 227갓바위공영3주차장(진인동 123-74 갓바위공영3주차장),02,AC완속,7kW
갓바위공영3주차장,대구광역시 동구 갓바위로 227갓바위공영3주차장(진인동 123-74 갓바위공영3주차장),03,AC완속,7kW
갓바위공영5주차장,대구광역시 동구 갓바위로 223-35갓바위공영5주차장(진인동 123-12 갓바위공영5주차장),01,DC차데모+AC3상+DC콤보,50kW
검단동 행정복지센터,대구광역시 북구 검단로41길 12검단동행정복지센터(검단동 행정복지센터),01,AC완속,7kW
고산3동 행정복지센터,대구광역시 수성구 고산로 152고산3동행정복지센터(고산3동 행정복지센터),01,AC완속,7kW
관음공영주차장,대구광역시 북구 관음중앙로 80관음공영주차장(관음동 448-1),01,DC차데모+AC3상+DC콤보,50kW
관음동 행정복지센터,대구광역시 북구 관음동로 125관음동행정복지센터(관음동 행정복지센터),01,AC완속,7kW
구암동 행정복지센터,대구광역시 북구 구암서로 32구암동 행정복지센터(구암동 788-1),01,DC차데모+AC3상+DC콤보,50kW
국채보상운동기념공원주차장,대구광역시 중구 국채보상로 670국채보상운동기념공원주차장(동인동2가 42),01,AC완속,7kW
국채보상운동기념공원주차장,대구광역시 중구 국채보상로 670국채보상운동기념공원주차장(동인동2가 42),02,AC완속,7kW
국채보상운동기념공원주차장,대구광역시 중구 국채보상로 670국채보상운동기념공원주차장(동인동2가 42),03,AC완속,7kW
남산4동 행정복지센터,대구광역시 중구 남산로1길 42남산4동행정복지센터(2508-1 남산4동주민센터),01,AC완속,7kW
내당23동 행정복지센터,"대구광역시 서구 큰장로15길 11-1내당23동행정복지센터(1008-1 내당2,3동주민센터)",01,AC완속,7kW
논공읍 논공공단출장소,대구광역시 달성군 논공읍 논공중앙로33길 3논공읍 논공공단출장소(북리 1-130),01,DC차데모+AC3상+DC콤보,50kW
논공읍 행정복지센터,"대구광역시 달성군 논공읍 비슬로 1779논공읍행정복지센터(1998 논공읍사무소,금포119지역대)",01,AC완속,7kW
농수산물도매시장,대구광역시 북구 매천로18길 34농수산물도매시장(매천동 527-3),01,DC차데모+AC3상+DC콤보,50kW
농수산물도매시장,대구광역시 북구 매천로18길 34농수산물도매시장(매천동 527-3),02,AC완속,7kW
농수산물도매시장,대구광역시 북구 매천로18길 34농수산물도매시장(매천동 527-3),03,AC완속,7kW
농수산물도매시장,대구광역시 북구 매천로18길 34농수산물도매시장(매천동 527-3),04,AC완속,7kW
다사읍 행정복지센터,대구광역시 달성군 다사읍 매곡로 7다사읍 행정복지센터(매곡리 885-1),01,DC차데모+AC3상+DC콤보,50kW
다사읍 행정복지센터(서재출장소),대구광역시 달성군 다사읍 서재본길 25다사읍행정복지센터(서재)(다사읍사무소 서재출장소),01,AC완속,7kW
다사체육공원 주차장,대구광역시 달성군 다사읍 다사로 441다사체육공원(달천리 137-2),01,DC차데모+AC3상+DC콤보,50kW
달서구청,대구광역시 달서구 학산로 45달서구청(월성동 281),01,DC차데모+AC3상+DC콤보,50kW
달성군농업기술센터,대구광역시 달성군 옥포읍 비슬로 2040달성군농업기술센터(교항리 2521-7),01,DC차데모+AC3상+DC콤보,50kW
달성군청,대구광역시 달성군 논공읍 달성군청로 33달성군청(금포리 1313),01,DC차데모+AC3상+DC콤보,50kW
달성군청,대구광역시 달성군 논공읍 달성군청로 33달성군청(금포리 1313),02,AC완속,7kW
